1 (1),Moscow,Russia,Europe,210 (10 ),-12%,5,7,11
2 (3),Istanbul,Turkey,Europe,157 (32 ),6%,6,,10
3 (2),Bogota,Colombia,South America,272 (1 ),-5%,8,,7
4 (4),Mexico City,Mexico,North America,218 (9 ),3%,7,,9
5 (5),São Paulo,Brazil,South America,154 (39 ),-1%,6,,10
6 (6),London,United Kingdom,Europe,227 (6 ),1%,8,,7
7 (8),Rio de Janeiro,Brazil,South America,199 (13 ),15%,5,,13
8 (7),"Boston, MA",United States,North America,164 (25 ),-10%,6,,11
9 (9),Saint Petersburg,Russia,Europe,200 (12 ),-5%,6,,11
10 (13),Rome,Italy,Europe,254 (2 ),16%,8,,8
11 (10),Ankara,Turkey,Europe,128 (75 ),-5%,5,,12
12 (11),Izmir,Turkey,Europe,154 (38 ),1%,6,,10
13 (12),Sydney,Australia,Oceania,138 (63 ),-1%,6,,10
14 (14),Singapore,Singapore,Oceania,105 (106 ),-2%,4,,15
15 (16),Berlin,Germany,Europe,154 (40 ),-5%,5,,11
16 (18),Paris,France,Europe,237 (5 ),7%,7,,8
17 (15),Melbourne,Australia,Oceania,118 (87 ),-13%,6,,11
18 (22),Belo Horizonte,Brazil,South America,202 (11 ),12%,8,,8
19 (20),Washington D.C.,United States,North America,155 (36 ),-3%,5,,11
20 (19),"Toronto, ON",Canada,North America,164 (26 ),-4%,6,,10
21 (23),Guayaquil,Ecuador,South America,167 (24 ),2%,5,,12
22 (24),Madrid,Spain,Europe,129 (74 ),3%,7,,8
23 (25),"Chicago, IL",United States,North America,138 (64 ),4%,5,,12
24 (26),Brisbane,Australia,Oceania,157 (33 ),3%,6,,11
25 (26),Medellin,Colombia,South America,138 (62),12%,6,,10

1 (1),"Boston, MA",164 (1),-10%,6,11,"$2,2919",$ 4.1B
2 (2),"Washington, DC",155 (2),-3%,5,11,"$2,161",$ 4.6B
3 (5),"Chicago, IL",138 (4),4%,5,12,"$1,920",$ 6.2B
4 (3),"New York City, NY",133 (5),-4%,7,9,"$1,859",$ 9.5B
5 (4),"Los Angeles, CA",128 (6),0%,4,14,"$1,788",$ 9.3B
6 (6),"Seattle, WA",138 (3),0%,6,10,"$1,932",$ 2.9B
7 (11),"Pittsburgh, PA",127 (7),5%,5,13,"$1,776",$ 1.2B
8 (7),"San Francisco, CA",116 (9),-5%,6,10,"$1,624",$ 3.4B
9 (10),"Philadelphia, PA",112 (10),0%,6,10,"$1,568",$ 3.3B
10 (8),"Portland, OR",116 (8),-9%,5,13,"$1,625",$ 1.4B
11 (13),"Atlanta, GA",108 (11),10%,4,14,"$1,505",$ 3.5B
12 (9),"Miami, FL",105 (12),-5%,5,12,"$1,470",$ 4.0B
13 (14),"Houston, TX",98 (14),6%,4,15,"$1,365",$ 3.8B
14 (12),"Austin, TX",104 (13),-2%,5,13,"$1,452",$ 1.2B
15 (16),"Baltimore, MD",94 (16),3%,6,10,"$1,315",$ 1.3B
16 (15),"Charlotte, NC",95 (15),0%,5,12,"$1,332",$ 953.8M
17 (19),"Tampa, FL",87 (19),11%,5,13,"$1,216",$ 1.5B
18 (17),"Honolulu, HI",92 (17),-4%,5,12,"$1,282",$ 432.0M
19 (18),"Denver, CO",83 (20),-3%,5,13,"$1,152",$ 1.5B
20 (23),"Nashville, TN",87 (18),20%,4,16,"$1,221",$ 694.7M
21 (20),"Dallas, TX",76 (22),6%,4,17,"$1,065",$ 3.1B
22 (21),"Phoenix, AZ",73 (25),3%,4,17,"$1,013",$ 1.8B
23 (31),"Orlando, FL",74 (23),16%,4,15,"$1,037",$ 900.1
24 (24),"Minneapolis, MN",70 (28),4%,4,14,$971,$ 1.3B
25 (26),"Columbus, OH",71 (27),6%,4,14,$990,$ 734.9M

1 (1),Moscow,Russia,210 (8),-12%,5,1113
2 (2),Istanbul,Turkey,157 (22),6%,6,10
3 (3),London,United Kingdom,227 (5),1%,8,7
4 (4),Saint Petersburg,Russia,200 (9),-5%,6,11
5 (7),Rome,Italy,254 (1),16%,8,8
6 (5),Ankara,Turkey,128 (52),-5%,5,12
7 (6),Izmir,Turkey,154 (26),1%,6,10
8 (8),Berlin,Germany,154 (27),-5%,5,11
9 (9),Paris,France,237 (4),7%,7,8
10 (10),Madrid,Spain,129 (51),3%,7,8
11 (11),Milan,Italy,226 (6),6%,8,8
12 (12),Warsaw,Poland,173 (15),7%,5,13
13 (15),Budapest,Hungary,162 (20),11%,5,11
14 (13),Rostov-on-Don,Russia,237 (3),1%,7,8
15 (14),Hamburg,Germany,139 (43),-3%,5,12
16 (16),Barcelona,Spain,147 (34),5%,7,9
17 (18),Nizhny Novgorod,Russia,180 (14),2%,5,12
18 (19),München,Germany,140 (42),-3%,5,11
19 (17),Vienna,Austria,109 (61),-11%,5,11
20 (21),Naples,Italy,186 (13),-3%,9,7
21 (20),Prague,Czech Republic,143 (35),-4%,5,11
22 (22),Turin,Italy,167 (16),-2%,8,8
23 (23),Birmingham,United Kingdom,134 (47),-4%,5,12
24 (25),Dublin,Ireland,246 (2),-4%,10,6
25 (30),Valencia,Spain,136 (45),14%,6,10

1 (1),London,227 (1),1%,8,7,"£ 1,680",£ 4.9B
2 (2),Birmingham,134 (12),-4%,5,12,£ 994,£ 388.7M
3 (3),Glasgow,99 (16),4%,5,13,£ 736,£ 320.4M
4 (7),Manchester,156 (4),2%,6,10,"£ 1,157",£ 212.7M
5 (5),Bristol,149 (9),0%,8,8,"£ 1,099",£ 212.0M
