Moscow,Russia,210
Istanbul,Turkey,157
London,United Kingdom,227
Saint Petersburg,Russia,200
Rome,Italy,254
Ankara,Turkey,128
Izmir,Turkey,154
Berlin,Germany,154
Paris,France,237
Madrid,Spain,129
Milan,Italy,226
Warsaw,Poland,173
Budapest,Hungary,162
Rostov-on-Don,Russia,237
Hamburg,Germany,139
Barcelona,Spain,147
Nizhny Novgorod,Russia,180
München,Germany,140
Vienna,Austria,109
Naples,Italy,186
Prague,Czech Republic,143
Turin,Italy,167
Birmingham,United Kingdom,134
Dublin,Ireland,246
Valencia,Spain,136
